"id","label","name"
"393","9606","CLU"
"394","9606","TGFBR2"
"395","9606","UNC13B"
"396","9606","STX1A"
"397","9606","CD27"
"398","9606","SIVA1"
"399","9606","FKBP1A"
"400","9606","TGFBR1"
"401","9606","YY1"
"402","9606","FKBP2"
"403","9606","ARFGEF1"
"404","9606","NCAPG2"
"405","9606","MYO7A"
"406","9606","AKAP10"
"407","9606","TCAP"
"408","9606","APBB1"
"409","9606","TFCP2"
"410","9606","CEBPZ"
"411","9606","NFYB"
"412","9606","ZEB1"
"413","9606","DRAP1"
"414","9606","KAT5"
"415","9606","E2F1"
"416","9606","ATM"
"417","9606","ABL1"
"418","9606","NTRK1"
"419","9606","HRAS"
"420","9606","HSH2D"
"421","9606","FES"
"422","9606","KRAS"
"423","9606","SRC"
"424","9606","EPHB2"
"425","9606","TNNC1"
"426","9606","TNNT1"
"427","9606","TNFAIP3"
"428","9606","TAX1BP1"
"429","9606","TP53"
"430","9606","WWOX"
"431","9606","CDC14A"
"432","9606","TNFRSF1A"
"433","9606","PSMD2"
"434","9606","SHC2"
"435","9606","DDR2"
"436","9606","CDH1"
"437","9606","CTNND1"
"438","9606","CBLL1"
"439","9606","ITGA1"
"440","9606","BIN1"
"441","9606","ITGA4"
"442","9606","EED"
"443","9606","FLI1"
"444","9606","GATA1"
"445","9606","VHL"
"446","9606","VBP1"
"447","9606","JADE1"
"448","9606","XRCC1"
"449","9606","LIG3"
"450","9606","PNKP"
"451","9606","ZNF24"
"452","9606","ZNF174"
"453","9606","ZNF10"
"454","9606","TRIM28"
"455","9606","TRIM24"
"456","9606","COG5"
"457","9606","MEFV"
"458","9606","VEZT"
"459","9606","XPA"
"460","9606","RPA4"
"461","9606","XPC"
"462","9606","RAD23A"
"463","9606","CMIP"
"464","9606","AR"
"465","9606","TRIO"
"466","9606","CASR"
"467","9606","HCFC1"
"468","9606","GABPA"
"469","9606","AGTR2"
"470","9606","MTUS1"
"471","9606","RANBP9"
"472","9606","USP11"
"473","9606","SFPQ"
"474","9606","NONO"
"475","9606","PRKCI"
"476","9606","BMX"
"477","9606","PTPN21"
"478","9606","TRO"
"479","9606","CITED1"
"480","9606","ACTN3"
"481","9606","TBR1"
"482","9606","CASK"
"483","9606","ID1"
"484","9606","LRP2"
"485","9606","DLG3"
"486","9606","ERBB4"
"487","9606","NCS1"
"488","9606","IL1RAPL1"
"489","9606","ARHGEF11"
"490","9606","PLXNB3"
"491","9606","UNC5A"
"492","9606","MAGED1"
"493","9606","LRPPRC"
"494","9606","UXT"
"495","9606","SUV39H1"
"496","9606","UBE3A"
"497","9606","UBQLN2"
"498","9606","RAB9A"
"499","9606","RABEPK"
"500","9606","CTBP2"
"501","9606","KLF8"
"502","9606","UPF3B"
"503","9606","TTC19"
"504","9606","NXF3"
"505","9606","XPO1"
"506","9606","CDC6"
"507","9606","PPP2R3B"
"508","9606","TIMM8A"
"509","9606","STAM"
"510","9606","SH3GL3"
"511","9606","SH3KBP1"
"512","9606","DTNA"
"513","9606","DMD"
"514","9606","WAS"
"515","9606","GPHN"
"516","9606","ARHGEF9"
"517","9606","PQBP1"
"518","9606","TXNL4A"
"519","9606","WBP11"
"520","9606","ZFPM2"
"521","9606","F8"
"522","9606","PHYH"
"523","9606","SH2D1A"
"524","9606","SLAMF1"
"525","9606","FMR1"
"526","9606","FXR1"
"527","9606","NUFIP1"
"528","9606","MSN"
"529","9606","TSC1"
"530","9606","ARAF"
