VertexID:ID,label,name
118,9606,LSM5
7779,9606,ACADM
5409,9606,NAP1L1
1022,9606,PTPN11
13030,9606,SYCE1
514,9606,WAS
2524,9606,PLSCR3
13080,9606,CYSLTR1
11220,9606,ARHGAP24
2025,9606,SLC35A2
5020,9606,KLF1
1059,9606,SERBP1
11075,9606,STK33
10687,9606,SLC1A3
9832,9606,PLXNA2
10273,9606,B4GALT5
8931,9606,PINK1
2335,9606,PHYHIPL
7839,9606,MOG
4559,9606,NVL
13694,9606,B4GALT4
2279,9606,STMN2
13917,9606,KLK11
13605,9606,AACS
11221,9606,DCLK1
3301,9606,EIF4G2
10885,9606,PDZRN4
8189,9606,KDM2A
10658,9606,UBFD1
2231,9606,FTH1
3182,9606,TJP2
6677,9606,ATP6AP2
12087,9606,KLHL38
14007,9606,RFPL2
5638,9606,PSMB10
9363,9606,MYT1L
9438,9606,AZI2
14273,9606,LRRC49
4458,9606,TRPV4
2298,9606,ZC3H11A
9784,9606,HAUS8
6999,9606,CCL8
949,9606,PACSIN3
1539,9606,TESC
2967,9606,ERBB3
2830,559292,SLX4
13692,9606,SMYD5
14389,9606,BMP15
5943,9606,SSX2IP
665,9606,HNRNPL
5557,9606,ALB
11775,9606,MAU2
9547,9606,EDRF1
13789,9606,C15orf52
1269,559292,POP1
2086,9606,DARS
13644,9606,IYD
7758,559292,MDM1
12051,9606,IGDCC4
12103,9606,DLX6
10381,9606,SULF2
11570,9606,SCAND2P
14280,9606,C1orf52
5045,9606,IKZF4
5640,9606,PTH
5944,9606,DDX1
10932,9606,CECR5
1181,559292,RRP8
11511,9606,PIGG
4605,9606,TFB1M
15018,9606,TBC1D30
5015,9606,TGM2
4825,9606,MCFD2
12972,9606,ASB16
3511,9606,AFAP1L1
12059,9606,ZNF292
10370,9606,SPEG
487,9606,NCS1
8668,9606,ZNF137P
10348,9606,NRIP2
8534,9606,ZNF418
7183,9606,IRX4
10830,9606,RGSL1
10758,9606,CDY2A
11034,9606,R3HDM1
12050,9606,CHKB
3707,9606,EIF2S1
5934,9606,KCNN2
13886,9606,IGLC7
11832,9606,TATDN2
13761,9606,TMEM186
13406,9606,TSGA10IP
226,9606,TP53BP2
10076,9606,C4orf46
12980,9606,PKHD1
2546,9606,EPT1
8733,9606,MYSM1
4037,9606,PPIG
9966,9606,ZNF528
3226,9606,FIBP
10212,9606,TTC5
901,9606,MBD3
6241,9606,DLGAP2
10079,9606,LARP4B
10575,9606,CORO1B
4908,9606,PLK2
14537,9606,LCN15
